,comment,label
0,"05:45  Có những cuộc gặp gỡ chớp nhoáng, chóng tàn,…Đường nhiều người như vậy em vẫn va phải anh. ✨",Other
1,Từ đoạn Hiền Hồ cao trào và luôn cả đoạn cuối Đỉnh thật sự !,Enjoyment
2,Một sự kết hợp quá tuyệt vờiiiiiiii.. Hy vọng 2 anh chị ra MV chung ạ!,Enjoyment
3,"Hai ông bà này có điểm chung là
- Hát hay
- Nói rất chậm, từ tốn
- Đẹp xuất sắc",Enjoyment
4,"03:41  Anh ghét em lắm em biết không? Vì suốt ngày em cứ bay lượn trong đầu anh, làm anh khôn nghĩ được việc gì cả…huhu. 🍗",Sadness
5,Jaw dropping performance by both singers! 👏,Other
6,03:03 Nhưng em lại muốn…anh đưa em về dinh. 🤠,Surprise
7,"đây là bản mashup đầu tiên cũng như là bài hát đầu tiên mà tôi có thể ngày nào cũng nghe đc, 1 sự kết hợp hết sức tinh tế và hợp lí, có lẽ đây sẽ là ca khúc mà t sẽ luôn nghe mọi lúc mọi nơi'",Enjoyment
8,"Hiền Hồ live đỉnh cao thực sự, giọng hát vô cùng cảm xúc. Từ khí chất tới phong cách biểu diễn đều làm mình yêu thích không thôi. Chúc chị năm mới luôn thành công và hứa hẹn thêm nhiều hit vào năm sau ạ!",Enjoyment
9,2 bài hát này giống như sinh ra là dành cho nhau... hợp dã man,Enjoyment
10,"Thích nghe mấy đoạn Hiền Hồ hát quá, nhất là đoạn cao trào quá đỉnh",Enjoyment
11,05:42  Em vẫn xinh tươi nhưng KHÔNG thuộc về ai 🥄,Other
12,"cặp này mà có bài mới song ca là bao hot, nằm gọn top 1 luôn chứ đùa =))",Enjoyment
13,Hiền hồ năm nào cũng đc hát live ở Sóng điều đó đã khẳng định giọng hát live rất chất lượng,Surprise
14,Lần đầu tiên cmt nhận xét 1 bài hát. Chỉ biết nói 1 chữ : “ ĐỈNH “. Mình thực sự nổi da gà ở 3p cuối và xem đi xem lại không chán. Mong Quân AP và Hiền Hồ có những sự kết hợp tiếp theo vì quá hợp và đây là 1 bản live hoàn hảo nhất mình từng nghe ! Yêu và chính thức trở thành Fan của đôi này 💕,Surprise
15,"Trong 14tr lượt xem, mình đóng góp 100 lượt nhé. Coi đi coi lại. Bị mê bà Hiền. Nghe bà nói chuyện k cũng vui ui. Vui nhất chủ đề "" em nghĩ sao dze DV Anh Đức"" thương anh Đức quá. Mong anh hạnh phúc ❤️",Surprise
16,Hiền Hồ live đỉnh quá,Surprise
17,Giọng Hiền Hồ siêu đỉnh. Hát như nuốt đĩa 😍🥰,Surprise
18,Năm nào Hiền Hồ hát live cũng để lại dấu ấn,Enjoyment
19,Thích mà cách hiền hồ lên nốt cao đã tai thật sự... Amazing,Enjoyment
20,Hay nghe trên Zing Mp3 2 bài này cảm thấy rất hợp .Hôm nay xem được 2 bài kết hợp thật sự Quá Hay những gì mong đợi.❤️ 5:43,Enjoyment
21,Càng nghe càng thấy bé hát hay quá. Chính thức là fan của bé...,Enjoyment
22,"nghe là ghiền từ đầu luôn☺️ nhưng bắt đầu từ đoạn  5:06  là mê li, bị cuốn theo anh Quân với chị Hiền Hồ luôn❤️",Surprise
23,"Hiền Hồ lạ lùng ghê, kết hợp với ai cũng ra 1 màn xuất sắc vậy nè!",Surprise
24,Giọng anh Quân AP hay quá :((( Nghe ấm áp lắm ý,Enjoyment
25,2 tuần rồi vẫn còn trên tab thịnh hành 😍,Surprise
26,"Từ 1 cô gái ngheo Tay Nguyên e đã lột xác để thay đổi cứu bản thân, gia đình khỏi cái nghèo.",Surprise
27,"""Chuyện tình cảm chúng ta đừng nên nói trước, vì phía trước biết đâu mọi thứ đảo ngược"" Bh mới ngấm từng chữ",Other
28,"Bé Hiền hát hay lắm ý. Giọng ngọt êm mà lên nốt cao nghe bùi tai thế chứ lị. Quân cũng đỉnh, giọng mạnh mẽ da diết. Giờ là tiết mục Sóng năm nào cũng sẽ chờ tiết mục của Hiền☺️🥰",Surprise
29,Chúc Hiền Hồ sinh nhật vui vẻ... love U ... chụt chụt...,Enjoyment
30,Hiền hồ live đỉnh thiệt,Enjoyment
31,"có ai bị ám ảnh ""hay quá"" ko ạ?!?!?!",Surprise
32,<3333,Other
33,"Hiền Hồ hát live lại vào top trending nữa rồi, xuất sắc!!!",Surprise
34,02:52 Trong em thật bối rối chẳng biết nói hay là thôi ,Other
35,"Rất ít khi cmt nhưng bài này hay quá, giọng 2 em đều đỉnh, nghe đi nghe lại ko biết bao nhiêu lần rồi và vẫn đang nghe tiếp 😂",Surprise
36,"tự hỏi 2 ng` này chừng nào ra bản mp3 chính thức đây, hóng !",Surprise
37,"Mỗi lần nghe lại là mỗi lần nổi da gà, màn song ca đỉnh thiệt sự, yêu 2 anh chị quá <3",Enjoyment
